番号,日本語,英語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
46,パラス,Paras,Paras,Paras,파라스,派拉斯,派拉斯
47,パラセクト,Parasect,Parasek,Parasect,파라섹트,派拉斯特,派拉斯特
48,コンパン,Venonat,Bluzuk,Mimitoss,콘팡,毛球,毛球
49,モルフォン,Venomoth,Omot,Aeromite,도나리,摩鲁蛾,摩魯蛾
50,ディグダ,Diglett,Digda,Taupiqueur,디그다,地鼠,地鼠
51,ダグトリオ,Dugtrio,Digdri,Triopikeur,닥트리오,三地鼠,三地鼠
52,ニャース,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵
53,ペルシアン,Persian,Snobilikat,Persian,페르시온,猫老大,貓老大
54,コダック,Psyduck,Enton,Psykokwak,고라파덕,可达鸭,可達鴨
55,ゴルダック,Golduck,Entoron,Akwakwak,골덕,哥达鸭,哥達鴨
56,マンキー,Mankey,Menki,Ferosinge,망키,猴怪,猴怪
57,オコリザル,Primeape,Rasaff,Colossinge,성원숭,火暴猴,火爆猴
58,ガーディ,Growlithe,Fukano,Caninos,가디,卡蒂狗,卡蒂狗
59,ウインディ,Arcanine,Arkani,Arcanin,윈디,风速狗,風速狗
60,ニョロモ,Poliwag,Quapsel,Ptitard,발챙이,蚊香蝌蚪,蚊香蝌蚪
61,ニョロゾ,Poliwhirl,Quaputzi,Tetarte,수륙챙이,蚊香君,蚊香君
62,ニョロボン,Poliwrath,Quappo,Tartard,강챙이,蚊香泳士,蚊香泳士
63,ケーシィ,Abra,Abra,Abra,캐이시,凯西,凱西
64,ユンゲラー,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉
65,フーディン,Alakazam,Simsala,Alakazam,후딘,胡地,胡地
66,ワンリキー,Machop,Machollo,Machoc,알통몬,腕力,腕力
67,ゴーリキー,Machoke,Maschock,Machopeur,근육몬,豪力,豪力
68,カイリキー,Machamp,Machomei,Mackogneur,괴력몬,怪力,怪力
69,マダツボミ,Bellsprout,Knofensa,Chetiflor,모다피,喇叭芽,喇叭芽
70,ウツドン,Weepinbell,Ultrigaria,Boustiflor,우츠동,口呆花,口呆花
71,ウツボット,Victreebel,Sarzenia,Empiflor,우츠보트,大食花,大食花
72,メノクラゲ,Tentacool,Tentacha,Tentacool,왕눈해,玛瑙水母,瑪瑙水母
73,ドククラゲ,Tentacruel,Tentoxa,Tentacruel,독파리,毒刺水母,毒刺水母
74,イシツブテ,Geodude,Kleinstein,Racaillou,꼬마돌,小拳石,小拳石
75,ゴローン,Graveler,Georok,Gravalanch,데구리,隆隆石,隆隆石
76,ゴローニャ,Golem,Geowaz,Grolem,딱구리,隆隆岩,隆隆岩
77,ポニータ,Ponyta,Ponita,Ponyta,포니타,小火马,小火馬
78,ギャロップ,Rapidash,Gallopa,Galopa,날쌩마,烈焰马,烈焰馬
79,ヤドン,Slowpoke,Flegmon,Ramoloss,야돈,呆呆兽,呆呆獸
80,ヤドラン,Slowbro,Lahmus,Flagadoss,야도란,呆壳兽,呆殼獸
81,コイル,Magnemite,Magnetilo,Magneti,코일,小磁怪,小磁怪
82,レアコイル,Magneton,Magneton,Magneton,레어코일,三合一磁怪,三合一磁怪
83,カモネギ,Farfetch'd,Porenta,Canarticho,파오리,大葱鸭,大蔥鴨
84,ドードー,Doduo,Dodu,Doduo,두두,嘟嘟,嘟嘟
85,ドードリオ,Dodrio,Dodri,Dodrio,두트리오,嘟嘟利,嘟嘟利
86,パウワウ,Seel,Jurob,Otaria,쥬쥬,小海狮,小海獅
87,ジュゴン,Dewgong,Jugong,Lamantine,쥬레곤,白海狮,白海獅
88,ベトベター,Grimer,Sleima,Tadmorv,질퍽이,臭泥,臭泥
89,ベトベトン,Muk,Sleimok,Grotadmorv,질뻐기,臭臭泥,臭臭泥
90,シェルダー,Shellder,Muschas,Kokiyas,셀러,大舌贝,大舌貝
91,パルシェン,Cloyster,Austos,Crustabri,파르셀,刺甲贝,刺甲貝
92,ゴース,Gastly,Nebulak,Fantominus,고오스,鬼斯,鬼斯
93,ゴースト,Haunter,Alpollo,Spectrum,고우스트,鬼斯通,鬼斯通
94,ゲンガー,Gengar,Gengar,Ectoplasma,팬텀,耿鬼,耿鬼
95,イワーク,Onix,Onix,Onix,롱스톤,大岩蛇,大岩蛇
96,スリープ,Drowzee,Traumato,Soporifik,슬리프,催眠貘,催眠貘
97,スリーパー,Hypno,Hypno,Hypnomade,슬리퍼,引梦貘人,引夢貘人
98,クラブ,Krabby,Krabby,Krabby,크랩,大钳蟹,大鉗蟹
99,キングラー,Kingler,Kingler,Krabboss,킹크랩,巨钳蟹,巨鉗蟹
100,ビリリダマ,Voltorb,Voltobal,Voltorbe,찌리리공,霹雳电球,霹靂電球
101,マルマイン,Electrode,Lektrobal,Electrode,붐볼,顽皮雷弹,頑皮雷彈
102,タマタマ,Exeggcute,Owei,Noeunoeuf,아라리,蛋蛋,蛋蛋
103,ナッシー,Exeggutor,Kokowei,Noadkoko,나시,椰蛋树,椰蛋樹
104,カラカラ,Cubone,Tragosso,Osselait,탕구리,卡拉卡拉,卡拉卡拉
105,ガラガラ,Marowak,Knogga,Ossatueur,텅구리,嘎啦嘎啦,嘎啦嘎啦
106,サワムラー,Hitmonlee,Kicklee,Kicklee,시라소몬,飞腿郎,飛腿郎
107,エビワラー,Hitmonchan,Nockchan,Tygnon,홍수몬,快拳郎,快拳郎
108,ベロリンガ,Lickitung,Schlurp,Excelangue,내루미,大舌头,大舌頭
109,ドガース,Koffing,Smogon,Smogo,또가스,瓦斯弹,瓦斯彈
110,マタドガス,Weezing,Smogmog,Smogogo,또도가스,双弹瓦斯,雙彈瓦斯
111,サイホーン,Rhyhorn,Rihorn,Rhinocorne,뿔카노,独角犀牛,獨角犀牛
112,サイドン,Rhydon,Rizeros,Rhinoferos,코뿌리,钻角犀兽,鑽角犀獸
113,ラッキー,Chansey,Chaneira,Leveinard,럭키,吉利蛋,吉利蛋
114,モンジャラ,Tangela,Tangela,Saquedeneu,덩구리,蔓藤怪,蔓藤怪
115,ガルーラ,Kangaskhan,Kangama,Kangourex,캥카,袋兽,袋獸
116,タッツー,Horsea,Seeper,Hypotrempe,쏘드라,墨海马,墨海馬
117,シードラ,Seadra,Seemon,Hypocean,시드라,海刺龙,海刺龍
118,トサキント,Goldeen,Goldini,Poissirene,콘치,角金鱼,角金魚
119,アズマオウ,Seaking,Golking,Poissoroy,왕콘치,金鱼王,金魚王
120,ヒトデマン,Staryu,Sterndu,Stari,별가사리,海星星,海星星
121,スターミー,Starmie,Starmie,Staross,아쿠스타,宝石海星,寶石海星
122,バリヤード,Mr. Mime,Pantimos,M.Mime,마임맨,魔墙人偶,魔牆人偶
123,ストライク,Scyther,Sichlor,Insecateur,스라크,飞天螳螂,飛天螳螂
124,ルージュラ,Jynx,Rossana,Lippoutou,루주라,迷唇姐,迷唇姐
125,エレブー,Electabuzz,Elektek,Elektek,에레브,电击兽,電擊獸
126,ブーバー,Magmar,Magmar,Magmar,마그마,鸭嘴火兽,鴨嘴火獸
127,カイロス,Pinsir,Pinsir,Scarabrute,쁘사이저,凯罗斯,凱羅斯
128,ケンタロス,Tauros,Tauros,Tauros,켄타로스,肯泰罗,肯泰羅
129,コイキング,Magikarp,Karpador,Magicarpe,잉어킹,鲤鱼王,鯉魚王
130,ギャラドス,Gyarados,Garados,Leviator,갸라도스,暴鲤龙,暴鯉龍
131,ラプラス,Lapras,Lapras,Lokhlass,라프라스,拉普拉斯,拉普拉斯
132,メタモン,Ditto,Ditto,Metamorph,메타몽,百变怪,百變怪
133,イーブイ,Eevee,Evoli,Evoli,이브이,伊布,伊布
134,シャワーズ,Vaporeon,Aquana,Aquali,샤미드,水伊布,水伊布
135,サンダース,Jolteon,Blitza,Voltali,쥬피썬더,雷伊布,雷伊布
136,ブースター,Flareon,Flamara,Pyroli,부스터,火伊布,火伊布
137,ポリゴン,Porygon,Porygon,Porygon,폴리곤,多边兽,多邊獸
138,オムナイト,Omanyte,Amonitas,Amonita,암나이트,菊石兽,菊石獸
139,オムスター,Omastar,Amoroso,Amonistar,암스타,多刺菊石兽,多刺菊石獸
140,カブト,Kabuto,Kabuto,Kabuto,투구,化石盔,化石盔
141,カブトプス,Kabutops,Kabutops,Kabutops,투구푸스,镰刀盔,鐮刀盔
142,プテラ,Aerodactyl,Aerodactyl,Ptera,프테라,化石翼龙,化石翼龍
143,カビゴン,Snorlax,Relaxo,Ronflex,잠만보,卡比兽,卡比獸
144,フリーザー,Articuno,Arktos,Artikodin,프리져,急冻鸟,急凍鳥
145,サンダー,Zapdos,Zapdos,Electhor,썬더,闪电鸟,閃電鳥
146,ファイヤー,Moltres,Lavados,Sulfura,파이어,火焰鸟,火焰鳥
147,ミニリュウ,Dratini,Dratini,Minidraco,미뇽,迷你龙,迷你龍
148,ハクリュー,Dragonair,Dragonir,Draco,신뇽,哈克龙,哈克龍
149,カイリュー,Dragonite,Dragoran,Dracolosse,망나뇽,快龙,快龍
150,ミュウツー,Mewtwo,Mewtu,Mewtwo,뮤츠,超梦,超夢
151,ミュウ,Mew,Mew,Mew,뮤,梦幻,夢幻
152,チコリータ,Chikorita,Endivie,Germignon,치코리타,菊草叶,菊草葉
153,ベイリーフ,Bayleef,Lorblatt,Macronium,베이리프,月桂叶,月桂葉
154,メガニウム,Meganium,Meganie,Meganium,메가니움,大竺葵,大竺葵
155,ヒノアラシ,Cyndaquil,Feurigel,Hericendre,브케인,火球鼠,火球鼠
156,マグマラシ,Quilava,Igelavar,Feurisson,마그케인,火岩鼠,火岩鼠
157,バクフーン,Typhlosion,Tornupto,Typhlosion,블레이범,火暴兽,火爆獸
158,ワニノコ,Totodile,Karnimani,Kaiminus,리아코,小锯鳄,小鋸鱷
159,アリゲイツ,Croconaw,Tyracroc,Crocrodil,엘리게이,蓝鳄,藍鱷
160,オーダイル,Feraligatr,Impergator,Aligatueur,장크로다일,大力鳄,大力鱷
161,オタチ,Sentret,Wiesor,Fouinette,꼬리선,尾立,尾立
162,オオタチ,Furret,Wiesenior,Fouinar,다꼬리,大尾立,大尾立
163,ホーホー,Hoothoot,Hoothoot,Hoothoot,부우부,咕咕,咕咕
164,ヨルノズク,Noctowl,Noctuh,Noarfang,야부엉,猫头夜鹰,貓頭夜鷹
165,レディバ,Ledyba,Ledyba,Coxy,레디바,芭瓢虫,芭瓢蟲
166,レディアン,Ledian,Ledian,Coxyclaque,레디안,安瓢虫,安瓢蟲
167,イトマル,Spinarak,Webarak,Mimigal,페이검,圆丝蛛,圓絲蛛
168,アリアドス,Ariados,Ariados,Migalos,아리아도스,阿利多斯,阿利多斯
169,クロバット,Crobat,Iksbat,Nostenfer,크로뱃,叉字蝠,叉字蝠
170,チョンチー,Chinchou,Lampi,Loupio,초라기,灯笼鱼,燈籠魚
171,ランターン,Lanturn,Lanturn,Lanturn,랜턴,电灯怪,電燈怪
172,ピチュー,Pichu,Pichu,Pichu,피츄,皮丘,皮丘
173,ピィ,Cleffa,Pii,Melo,삐,皮宝宝,皮寶寶
174,ププリン,Igglybuff,Fluffeluff,Toudoudou,푸푸린,宝宝丁,寶寶丁
175,トゲピー,Togepi,Togepi,Togepi,토게피,波克比,波克比
176,トゲチック,Togetic,Togetic,Togetic,토게틱,波克基古,波克基古
177,ネイティ,Natu,Natu,Natu,네이티,天然雀,天然雀
178,ネイティオ,Xatu,Xatu,Xatu,네이티오,天然鸟,天然鳥
179,メリープ,Mareep,Voltilamm,Wattouat,메리프,咩利羊,咩利羊
180,モココ,Flaaffy,Waaty,Lainergie,보송송,茸茸羊,茸茸羊
181,デンリュウ,Ampharos,Ampharos,Pharamp,전룡,电龙,電龍
182,キレイハナ,Bellossom,Blubella,Joliflor,아르코,美丽花,美麗花
183,マリル,Marill,Marill,Marill,마릴,玛力露,瑪力露
184,マリルリ,Azumarill,Azumarill,Azumarill,마릴리,玛力露丽,瑪力露麗
185,ウソッキー,Sudowoodo,Mogelbaum,Simularbre,꼬지모,树才怪,樹才怪
186,ニョロトノ,Politoed,Quaxo,Tarpaud,왕구리,蚊香蛙皇,蚊香蛙皇
187,ハネッコ,Hoppip,Hoppspross,Granivol,통통코,毽子草,毽子草
188,ポポッコ,Skiploom,Hubelupf,Floravol,두코,毽子花,毽子花
189,ワタッコ,Jumpluff,Papungha,Cotovol,솜솜코,毽子棉,毽子棉
190,エイパム,Aipom,Griffel,Capumain,에이팜,长尾怪手,長尾怪手
191,ヒマナッツ,Sunkern,Sonnkern,Tournegrin,해너츠,向日种子,向日種子
192,キマワリ,Sunflora,Sonnflora,Heliatronc,해루미,向日花怪,向日花怪
193,ヤンヤンマ,Yanma,Yanma,Yanma,왕자리,蜻蜻蜓,蜻蜻蜓
194,ウパー,Wooper,Felino,Axoloto,우파,乌波,烏波
195,ヌオー,Quagsire,Morlord,Maraiste,누오,沼王,沼王
196,エーフィ,Espeon,Psiana,Mentali,에브이,太阳伊布,太陽伊布
197,ブラッキー,Umbreon,Nachtara,Noctali,블래키,月亮伊布,月亮伊布
198,ヤミカラス,Murkrow,Kramurx,Cornebre,니로우,黑暗鸦,黑暗鴉
199,ヤドキング,Slowking,Laschoking,Roigada,야도킹,呆呆王,呆呆王
200,ムウマ,Misdreavus,Traunfugil,Feuforeve,무우마,梦妖,夢妖
201,アンノーン,Unown,Icognito,Zarbi,안농,未知图腾,未知圖騰
202,ソーナンス,Wobbuffet,Woingenau,Qulbutoke,마자용,果然翁,果然翁
203,キリンリキ,Girafarig,Girafarig,Girafarig,키링키,麒麟奇,麒麟奇
204,クヌギダマ,Pineco,Tannza,Pomdepic,피콘,榛果球,榛果球
205,フォレトス,Forretress,Forstellka,Foretress,쏘콘,佛烈托斯,佛烈托斯
206,ノコッチ,Dunsparce,Dummisel,Insolourdo,노고치,土龙弟弟,土龍弟弟
207,グライガー,Gligar,Skorgla,Scorplane,글라이거,天蝎,天蠍
208,ハガネール,Steelix,Stahlos,Steelix,강철톤,大钢蛇,大鋼蛇
209,ブルー,Snubbull,Snubbull,Snubbull,블루,布鲁,布魯
210,グランブル,Granbull,Granbull,Granbull,그랑블루,布鲁皇,布魯皇
211,ハリーセン,Qwilfish,Baldorfish,Qwilfish,침바루,千针鱼,千針魚
212,ハッサム,Scizor,Scherox,Cizayox,핫삼,巨钳螳螂,巨鉗螳螂
213,ツボツボ,Shuckle,Pottrott,Caratroc,단단지,壶壶,壺壺
214,ヘラクロス,Heracross,Skaraborn,Scarhino,헤라크로스,赫拉克罗斯,赫拉克羅斯
215,ニューラ,Sneasel,Sniebel,Farfuret,포푸니,狃拉,狃拉
216,ヒメグマ,Teddiursa,Teddiursa,Teddiursa,깜지곰,熊宝宝,熊寶寶
217,リングマ,Ursaring,Ursaring,Ursaring,링곰,圈圈熊,圈圈熊
218,マグマッグ,Slugma,Schneckmag,Limagma,마그마그,熔岩虫,熔岩蟲
219,マグカルゴ,Magcargo,Magcargo,Volcaropod,마그카르고,熔岩蜗牛,熔岩蝸牛
220,ウリムー,Swinub,Quiekel,Marcacrin,꾸꾸리,小山猪,小山豬
221,イノムー,Piloswine,Keifel,Cochignon,메꾸리,长毛猪,長毛豬
222,サニーゴ,Corsola,Corasonn,Corayon,코산호,太阳珊瑚,太陽珊瑚
223,テッポウオ,Remoraid,Remoraid,Remoraid,총어,铁炮鱼,鐵炮魚
224,オクタン,Octillery,Octillery,Octillery,대포무노,章鱼桶,章魚桶
225,デリバード,Delibird,Botogel,Cadoizo,딜리버드,信使鸟,信使鳥
226,マンタイン,Mantine,Mantax,Demanta,만타인,巨翅飞鱼,巨翅飛魚
227,エアームド,Skarmory,Panzaeron,Airmure,무장조,盔甲鸟,盔甲鳥
228,デルビル,Houndour,Hunduster,Malosse,델빌,戴鲁比,戴魯比
229,ヘルガー,Houndoom,Hundemon,Demolosse,헬가,黑鲁加,黑魯加
230,キングドラ,Kingdra,Seedraking,Hyporoi,킹드라,刺龙王,刺龍王
231,ゴマゾウ,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象
232,ドンファン,Donphan,Donphan,Donphan,코리갑,顿甲,頓甲
233,ポリゴン2,Porygon2,Porygon2,Porygon2,폴리곤2,多边兽II,多邊獸II
234,オドシシ,Stantler,Damhirplex,Cerfrousse,노라키,惊角鹿,驚角鹿
235,ドーブル,Smeargle,Farbeagle,Queulorior,루브도,图图犬,圖圖犬
236,バルキー,Tyrogue,Rabauz,Debugant,배루키,无畏小子,無畏小子
237,カポエラー,Hitmontop,Kapoera,Kapoera,카포에라,战舞郎,戰舞郎
238,ムチュール,Smoochum,Kussilla,Lippouti,뽀뽀라,迷唇娃,迷唇娃
239,エレキッド,Elekid,Elekid,Elekid,에레키드,电击怪,電擊怪
240,ブビィ,Magby,Magby,Magby,마그비,鸭嘴宝宝,鴨嘴寶寶
241,ミルタンク,Miltank,Miltank,Ecremeuh,밀탱크,大奶罐,大奶罐
242,ハピナス,Blissey,Heiteira,Leuphorie,해피나스,幸福蛋,幸福蛋
243,ライコウ,Raikou,Raikou,Raikou,라이코,雷公,雷公
244,エンテイ,Entei,Entei,Entei,앤테이,炎帝,炎帝
245,スイクン,Suicune,Suicune,Suicune,스이쿤,水君,水君
246,ヨーギラス,Larvitar,Larvitar,Embrylex,애버라스,幼基拉斯,幼基拉斯
247,サナギラス,Pupitar,Pupitar,Ymphect,데기라스,沙基拉斯,沙基拉斯
248,バンギラス,Tyranitar,Despotar,Tyranocif,마기라스,班基拉斯,班基拉斯
249,ルギア,Lugia,Lugia,Lugia,루기아,洛奇亚,洛奇亞
250,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,凤王,鳳王
251,セレビィ,Celebi,Celebi,Celebi,세레비,时拉比,時拉比
252,キモリ,Treecko,Geckarbor,Arcko,나무지기,木守宫,木守宮
253,ジュプトル,Grovyle,Reptain,Massko,나무돌이,森林蜥蜴,森林蜥蜴
254,ジュカイン,Sceptile,Gewaldro,Jungko,나무킹,蜥蜴王,蜥蜴王
255,アチャモ,Torchic,Flemmli,Poussifeu,아차모,火稚鸡,火稚雞
256,ワカシャモ,Combusken,Jungglut,Galifeu,영치코,力壮鸡,力壯雞
257,バシャーモ,Blaziken,Lohgock,Brasegali,번치코,火焰鸡,火焰雞
258,ミズゴロウ,Mudkip,Hydropi,Gobou,물짱이,水跃鱼,水躍魚
259,ヌマクロー,Marshtomp,Moorabbel,Flobio,늪짱이,沼跃鱼,沼躍魚
260,ラグラージ,Swampert,Sumpex,Laggron,대짱이,巨沼怪,巨沼怪
261,ポチエナ,Poochyena,Fiffyen,Medhyena,포챠나,土狼犬,土狼犬
262,グラエナ,Mightyena,Magnayen,Grahyena,그라에나,大狼犬,大狼犬
263,ジグザグマ,Zigzagoon,Zigzachs,Zigzaton,지그제구리,蛇纹熊,蛇紋熊
264,マッスグマ,Linoone,Geradaks,Lineon,직구리,直冲熊,直衝熊
265,ケムッソ,Wurmple,Waumpel,Chenipotte,개무소,刺尾虫,刺尾蟲
266,カラサリス,Silcoon,Schaloko,Armulys,실쿤,甲壳茧,甲殼繭
267,アゲハント,Beautifly,Papinella,Charmillon,뷰티플라이,狩猎凤蝶,狩獵鳳蝶
268,マユルド,Cascoon,Panekon,Blindalys,카스쿤,盾甲茧,盾甲繭
269,ドクケイル,Dustox,Pudox,Papinox,독케일,毒粉蛾,毒粉蛾
270,ハスボー,Lotad,Loturzel,Nenupiot,연꽃몬,莲叶童子,蓮葉童子
271,ハスブレロ,Lombre,Lombrero,Lombre,로토스,莲帽小童,蓮帽小童
272,ルンパッパ,Ludicolo,Kappalores,Ludicolo,로파파,乐天河童,樂天河童
273,タネボー,Seedot,Samurzel,Grainipiot,도토링,橡实果,橡實果
274,コノハナ,Nuzleaf,Blanas,Pifeuil,잎새코,长鼻叶,長鼻葉
275,ダーテング,Shiftry,Tengulist,Tengalice,다탱구,狡猾天狗,狡猾天狗
276,スバメ,Taillow,Schwalbini,Nirondelle,테일로,傲骨燕,傲骨燕
277,オオスバメ,Swellow,Schwalboss,Heledelle,스왈로,大王燕,大王燕
278,キャモメ,Wingull,Wingull,Goelise,갈모매,长翅鸥,長翅鷗
279,ペリッパー,Pelipper,Pelipper,Bekipan,패리퍼,大嘴鸥,大嘴鷗
280,ラルトス,Ralts,Trasla,Tarsal,랄토스,拉鲁拉丝,拉魯拉絲
281,キルリア,Kirlia,Kirlia,Kirlia,킬리아,奇鲁莉安,奇魯莉安
282,サーナイト,Gardevoir,Guardevoir,Gardevoir,가디안,沙奈朵,沙奈朵
283,アメタマ,Surskit,Gehweiher,Arakdo,비구술,溜溜糖球,溜溜糖球
284,アメモース,Masquerain,Maskeregen,Maskadra,비나방,雨翅蛾,雨翅蛾
285,キノココ,Shroomish,Knilz,Balignon,버섯꼬,蘑蘑菇,蘑蘑菇
286,キノガッサ,Breloom,Kapilz,Chapignon,버섯모,斗笠菇,斗笠菇
287,ナマケロ,Slakoth,Bummelz,Parecool,게을로,懒人獭,懶人獺
288,ヤルキモノ,Vigoroth,Muntier,Vigoroth,발바로,过动猿,過動猿
289,ケッキング,Slaking,Letarking,Monaflemit,게을킹,请假王,請假王
290,ツチニン,Nincada,Nincada,Ningale,토중몬,土居忍士,土居忍士
291,テッカニン,Ninjask,Ninjask,Ninjask,아이스크,铁面忍者,鐵面忍者
292,ヌケニン,Shedinja,Ninjatom,Munja,껍질몬,脱壳忍者,脫殼忍者
293,ゴニョニョ,Whismur,Flurmel,Chuchmur,소곤룡,咕妞妞,咕妞妞
294,ドゴーム,Loudred,Krakeelo,Ramboum,노공룡,吼爆弹,吼爆彈
295,バクオング,Exploud,Krawumms,Brouhabam,폭음룡,爆音怪,爆音怪
296,マクノシタ,Makuhita,Makuhita,Makuhita,마크탕,幕下力士,幕下力士
297,ハリテヤマ,Hariyama,Hariyama,Hariyama,하리뭉,铁掌力士,鐵掌力士
298,ルリリ,Azurill,Azurill,Azurill,루리리,露力丽,露力麗
299,ノズパス,Nosepass,Nasgnet,Tarinor,코코파스,朝北鼻,朝北鼻
300,エネコ,Skitty,Eneco,Skitty,에나비,向尾喵,向尾喵
301,エネコロロ,Delcatty,Enekoro,Delcatty,델케티,优雅猫,優雅貓
302,ヤミラミ,Sableye,Zobiris,Tenefix,깜까미,勾魂眼,勾魂眼
303,クチート,Mawile,Flunkifer,Mysdibule,입치트,大嘴娃,大嘴娃
304,ココドラ,Aron,Stollunior,Galekid,가보리,可可多拉,可可多拉
305,コドラ,Lairon,Stollrak,Galegon,갱도라,可多拉,可多拉
306,ボスゴドラ,Aggron,Stolloss,Galeking,보스로라,波士可多拉,波士可多拉
307,アサナン,Meditite,Meditie,Meditikka,요가랑,玛沙那,瑪沙那
308,チャーレム,Medicham,Meditalis,Charmina,요가램,恰雷姆,恰雷姆
309,ラクライ,Electrike,Frizelbliz,Dynavolt,썬더라이,落雷兽,落雷獸
310,ライボルト,Manectric,Voltenso,Elecsprint,썬더볼트,雷电兽,雷電獸
311,プラスル,Plusle,Plusle,Posipi,플러시,正电拍拍,正電拍拍
312,マイナン,Minun,Minun,Negapi,마이농,负电拍拍,負電拍拍
313,バルビート,Volbeat,Volbeat,Muciole,볼비트,电萤虫,電螢蟲
314,イルミーゼ,Illumise,Illumise,Lumivole,네오비트,甜甜萤,甜甜螢
315,ロゼリア,Roselia,Roselia,Roselia,로젤리아,毒蔷薇,毒薔薇
316,ゴクリン,Gulpin,Schluppuck,Gloupti,꼴깍몬,溶食兽,溶食獸
317,マルノーム,Swalot,Schlukwech,Avaltout,꿀꺽몬,吞食兽,吞食獸
318,キバニア,Carvanha,Kanivanha,Carvanha,샤프니아,利牙鱼,利牙魚
319,サメハダー,Sharpedo,Tohaido,Sharpedo,샤크니아,巨牙鲨,巨牙鯊
